Trial,Colony,Day,TrialOnDay,DOW,Date,Hatch,Age,Host,Species,Country,Hu,Time,N,N_Alt,N_Hu,Flow,Notes,Population
132,KUM1-40,10,14,Su,3-Feb,14-Jan,12,Moja,GP,Ghana,R,NA,NA,NA,NA,NA,Ran out,KUM
133,BOA,10,2,Su,3-Feb,14-Jan,12,Moja,GP,Ghana,R,7:20,75,19,0,0.67,,BOA
134,OGDT,10,1,Su,3-Feb,14-Jan,12,Moja,GP,BurkinaFaso,R,7:00,75,21,5,0.64,,OGD
135,OHI1-30,10,18,Su,3-Feb,14-Jan,12,Moja,GP,BurkinaFaso,R,12:50,67,20,2,0.63,,OHI
136,AWK1-50B,10,8,Su,3-Feb,14-Jan,12,Moja,GP,Nigeria,R,9:10,68,12,0,0.68,,AWK
137,KED1-10,10,5,Su,3-Feb,14-Jan,12,Moja,GP,Senegal,R,NA,NA,NA,NA,NA,Ran out,KED
138,MIN1-10,10,17,Su,3-Feb,14-Jan,12,Moja,GP,Senegal,R,12:30,61,15,2,0.63,,MIN
139,NGO1-15,10,7,Su,3-Feb,14-Jan,12,Moja,GP,Senegal,R,8:30,79,24,26,0.66,,NGO
140,THI1-13,10,9,Su,3-Feb,14-Jan,12,Moja,GP,Senegal,R,9:30,96,33,4,0.67,,THI
141,BTTB1,10,4,Su,3-Feb,14-Jan,12,Moja,GP,Senegal,R,8:10,39,7,0,0.65,,BTT
142,PKT1-30,10,15,Su,3-Feb,14-Jan,12,Moja,GP,Senegal,R,11:50,79,11,4,0.63,,PKT
143,T51,11,13,Tu,5-Feb,21-Jan,7,Moja,GP,Thailand,R,2:30,110,1,95,0.62,,T51
144,U49,11,6,Tu,5-Feb,21-Jan,7,Moja,GP,Uganda,R,11:00,107,19,15,0.62,,ENT
145,VR11-20B,11,10,Tu,5-Feb,21-Jan,7,Moja,GP,Kenya,R,1:30,110,20,8,0.62,,RAB
146,VK11-20,11,4,Tu,5-Feb,21-Jan,7,Moja,GP,Kenya,R,10:00,110,22,37,0.63,,VMB
147,FCV2,11,11,Tu,5-Feb,21-Jan,7,Moja,GP,Gabon,R,1:50,100,14,2,0.62,,FCV
148,LBV2,11,8,Tu,5-Feb,21-Jan,7,Moja,GP,Gabon,R,12:00,104,25,17,0.62,1 poop,LBV
149,KIN41-80,11,17,Tu,5-Feb,21-Jan,7,Moja,GP,Ghana,R,3:50,106,26,15,0.62,,KIN
150,KUM41-80,11,1,Tu,5-Feb,21-Jan,7,Moja,GP,Ghana,R,9:15,110,19,20,0.63,1 poop,KUM
151,OGDL,11,12,Tu,5-Feb,21-Jan,7,Moja,GP,BurkinaFaso,R,2:10,102,28,27,0.62,,OGD
152,OHI31-60,11,9,Tu,5-Feb,21-Jan,7,Moja,GP,BurkinaFaso,R,12:20,109,19,5,0.62,,OHI
153,AWK51-100B,11,5,Tu,5-Feb,21-Jan,7,Moja,GP,Nigeria,R,10:40,110,8,12,0.62,,AWK
154,KED11-20,11,15,Tu,5-Feb,21-Jan,7,Moja,GP,Senegal,R,3:10,90,10,10,0.62,"many dead, dried out?",KED
155,MIN11-20,11,14,Tu,5-Feb,21-Jan,7,Moja,GP,Senegal,R,2:50,95,15,8,0.62,"many dead, dried out?",MIN
156,NGO16-40,11,16,Tu,5-Feb,21-Jan,7,Moja,GP,Senegal,R,3:30,100,5,60,0.62,,NGO
157,THI14-40,11,3,Tu,5-Feb,21-Jan,7,Moja,GP,Senegal,R,10:20,73,3,49,0.62,,THI
158,BTTB2,11,7,Tu,5-Feb,21-Jan,7,Moja,GP,Senegal,R,11:30,37,9,6,0.62,,BTT
159,PKT31-60,11,2,Tu,5-Feb,21-Jan,7,Moja,GP,Senegal,R,9:40,107,6,13,0.63,,PKT
160,T51,12,10,W,6-Feb,21-Jan,8,Mbili,GP,Thailand,L,1:40,110,8,86,0.62,,T51
161,U49,12,6,W,6-Feb,21-Jan,8,Mbili,GP,Uganda,L,11:00,105,22,5,0.62,,ENT
162,VR11-20B,12,5,W,6-Feb,21-Jan,8,Mbili,GP,Kenya,L,10:40,109,29,6,0.62,,RAB
163,VK11-20,12,14,W,6-Feb,21-Jan,8,Mbili,GP,Kenya,L,3:00,108,41,8,0.62,,VMB
164,FCV2,12,3,W,6-Feb,21-Jan,8,Mbili,GP,Gabon,L,10:00,92,28,0,0.62,1 poop,FCV
165,LBV2,12,4,W,6-Feb,21-Jan,8,Mbili,GP,Gabon,L,10:20,110,55,4,0.62,,LBV
166,KIN41-80,12,9,W,6-Feb,21-Jan,8,Mbili,GP,Ghana,L,1:15,108,30,4,0.62,,KIN
167,KUM41-80,12,7,W,6-Feb,21-Jan,8,Mbili,GP,Ghana,L,11:30,105,22,11,0.62,,KUM
168,OGDL,12,13,W,6-Feb,21-Jan,8,Mbili,GP,BurkinaFaso,L,2:40,110,45,21,0.62,,OGD
169,OHI31-60,12,12,W,6-Feb,21-Jan,8,Mbili,GP,BurkinaFaso,L,2:20,106,53,3,0.62,,OHI
170,AWK51-100B,12,8,W,6-Feb,21-Jan,8,Mbili,GP,Nigeria,L,11:50,108,38,3,0.62,,AWK
171,KED11-20,12,16,W,6-Feb,21-Jan,8,Mbili,GP,Senegal,L,3:40,107,39,1,0.62,,KED
172,MIN11-20,12,15,W,6-Feb,21-Jan,8,Mbili,GP,Senegal,L,3:20,76,17,3,0.62,"many dead, dried out?",MIN
173,NGO16-40,12,1,W,6-Feb,21-Jan,8,Mbili,GP,Senegal,L,9:20,94,22,52,0.63,1 poop,NGO
174,THI14-40,12,17,W,6-Feb,21-Jan,8,Mbili,GP,Senegal,L,4:10,87,21,31,0.62,,THI
175,BTTB2,12,11,W,6-Feb,21-Jan,8,Mbili,GP,Senegal,L,2:00,48,4,1,0.62,,BTT
176,PKT31-60,12,2,W,6-Feb,21-Jan,8,Mbili,GP,Senegal,L,9:40,105,12,4,0.63,2 poop,PKT
177,T51,13,10,Th,7-Feb,21-Jan,9,Moja,GP,Thailand,L,1:20,109,2,102,0.63,,T51
178,U49,13,13,Th,7-Feb,21-Jan,9,Moja,GP,Uganda,L,2:20,106,42,6,0.63,,ENT
179,VR11-20B,13,15,Th,7-Feb,21-Jan,9,Moja,GP,Kenya,L,3:00,101,22,4,0.63,,RAB
180,VK11-20,13,4,Th,7-Feb,21-Jan,9,Moja,GP,Kenya,L,10:20,110,37,6,0.62,,VMB
181,FCV2,13,14,Th,7-Feb,21-Jan,9,Moja,GP,Gabon,L,2:40,100,34,0,0.63,,FCV
182,LBV2,13,16,Th,7-Feb,21-Jan,9,Moja,GP,Gabon,L,3:20,90,16,5,0.63,,LBV
183,KIN41-80,13,17,Th,7-Feb,21-Jan,9,Moja,GP,Ghana,L,3:40,105,39,0,0.63,,KIN
184,KUM41-80,13,8,Th,7-Feb,21-Jan,9,Moja,GP,Ghana,L,11:50,110,29,11,0.63,,KUM
185,OGDL,13,1,Th,7-Feb,21-Jan,9,Moja,GP,BurkinaFaso,L,9:30,110,43,10,0.61,,OGD
186,OHI31-60,13,3,Th,7-Feb,21-Jan,9,Moja,GP,BurkinaFaso,L,10:00,97,18,3,0.63,,OHI
187,AWK51-100B,13,11,Th,7-Feb,21-Jan,9,Moja,GP,Nigeria,L,1:40,108,15,5,0.63,,AWK
188,KED11-20,13,9,Th,7-Feb,21-Jan,9,Moja,GP,Senegal,L,1:00,109,16,7,0.63,,KED
189,MIN11-20,13,6,Th,7-Feb,21-Jan,9,Moja,GP,Senegal,L,11:10,110,14,2,0.63,,MIN
190,NGO16-40,13,5,Th,7-Feb,21-Jan,9,Moja,GP,Senegal,L,10:40,106,6,68,0.63,,NGO
191,THI14-40,13,7,Th,7-Feb,21-Jan,9,Moja,GP,Senegal,L,11:30,63,6,24,0.63,,THI
192,BTTB2,13,2,Th,7-Feb,21-Jan,9,Moja,GP,Senegal,L,NA,NA,NA,NA,NA,NA,BTT
193,PKT31-60,13,12,Th,7-Feb,21-Jan,9,Moja,GP,Senegal,L,2:00,110,22,7,0.63,,PKT
194,T51,14,12,F,8-Feb,21-Jan,10,Mbili,GP,Thailand,R,2:00,110,22,45,0.66,,T51
195,U49,14,14,F,8-Feb,21-Jan,10,Mbili,GP,Uganda,R,2:20,89,61,0,0.66,,ENT
196,VR11-20B,14,8,F,8-Feb,21-Jan,10,Mbili,GP,Kenya,R,12:40,110,34,0,0.65,,RAB
197,VK11-20,14,6,F,8-Feb,21-Jan,10,Mbili,GP,Kenya,R,9:30,100,29,3,0.65,,VMB
198,FCV2,14,16,F,8-Feb,21-Jan,10,Mbili,GP,Gabon,R,3:00,72,30,0,0.66,,FCV
199,LBV2,14,1,F,8-Feb,21-Jan,10,Mbili,GP,Gabon,R,7:45,93,43,1,0.65,,LBV
200,KIN41-80,14,7,F,8-Feb,21-Jan,10,Mbili,GP,Ghana,R,9:50,110,36,0,0.65,,KIN
201,KUM41-80,14,3,F,8-Feb,21-Jan,10,Mbili,GP,Ghana,R,8:30,95,31,2,0.65,gross poop,KUM
202,OGDL,14,17,F,8-Feb,21-Jan,10,Mbili,GP,BurkinaFaso,R,3:20,109,41,25,0.66,,OGD
203,OHI31-60,14,9,F,8-Feb,21-Jan,10,Mbili,GP,BurkinaFaso,R,1:00,108,35,1,0.65,,OHI
204,AWK51-100B,14,11,F,8-Feb,21-Jan,10,Mbili,GP,Nigeria,R,1:40,90,23,3,0.66,,AWK
205,KED11-20,14,15,F,8-Feb,21-Jan,10,Mbili,GP,Senegal,R,2:40,89,16,0,0.66,,KED
206,MIN11-20,14,2,F,8-Feb,21-Jan,10,Mbili,GP,Senegal,R,8:10,110,17,1,0.65,5 poop,MIN
207,NGO16-40,14,10,F,8-Feb,21-Jan,10,Mbili,GP,Senegal,R,1:20,78,21,25,0.65,,NGO
208,THI14-40,14,4,F,8-Feb,21-Jan,10,Mbili,GP,Senegal,R,8:50,64,16,10,0.65,,THI
209,BTTB2,14,13,F,8-Feb,21-Jan,10,Mbili,GP,Senegal,R,NA,NA,NA,NA,NA,NA,BTT
210,PKT31-60,14,5,F,8-Feb,21-Jan,10,Mbili,GP,Senegal,R,9:10,107,18,4,0.65,,PKT
